address_street,city,state,zip_code,price,beds,baths,area_sq_ft,latitude,longitude,status_text,list_url,date_scraped,listing_time
1615 Matt Leonard Dr SW,Birmingham,AL,35211,"$75,000",3,1,912,33.463352,-86.856064,Coming soon,https://www.zillow.com/homedetails/1615-Matt-Leonard-Dr-SW-Birmingham-AL-35211/1007175_zpid/,06-23-2022_21:32:30,1 hour ago
1556 Bessemer Rd #24,Birmingham,AL,35208,"$89,900",,,"6,970",33.48581,-86.89048,Lot / Land for sale,https://www.zillow.com/homedetails/1556-Bessemer-Rd-24-Birmingham-AL-35208/2062654238_zpid/,06-23-2022_21:32:30,1 hour ago
1535 45th St,Birmingham,AL,35208,"$97,900",3,1,"1,368",33.48811,-86.8903,House for sale,https://www.zillow.com/homedetails/1535-45th-St-Birmingham-AL-35208/995929_zpid/,06-23-2022_21:32:30,2 hours ago
5605 5th Ct S,Birmingham,AL,35212,"$314,900",3,2,"1,532",33.537117,-86.74884,Coming soon,https://www.zillow.com/homedetails/5605-5th-Ct-S-Birmingham-AL-35212/957184_zpid/,06-23-2022_21:32:30,3 hours ago
1804 Winewood Rd LOT 21,Birmingham,AL,35215,"$53,000",,,"1,830",33.6343,-86.72044,Lot / Land for sale,https://www.zillow.com/homedetails/1804-Winewood-Rd-LOT-21-Birmingham-AL-35215/2082259261_zpid/,06-23-2022_21:32:30,3 hours ago
1914 3rd Ave N APT 303,Birmingham,AL,35203,"$269,900",1,1,890,33.515842,-86.80819,Coming soon,https://www.zillow.com/homedetails/1914-3rd-Ave-N-APT-303-Birmingham-AL-35203/125825398_zpid/,06-23-2022_21:32:30,3 hours ago
602 52nd St S,Birmingham,AL,35212,"$309,000",3,2,"1,647",33.532272,-86.75394,Coming soon,https://www.zillow.com/homedetails/602-52nd-St-S-Birmingham-AL-35212/962080_zpid/,06-23-2022_21:32:30,5 hours ago
1313 Wales Ave,Birmingham,AL,35213,"$389,000",3,2,"1,804",33.519207,-86.73117,Coming soon,https://www.zillow.com/homedetails/1313-Wales-Ave-Birmingham-AL-35213/961580_zpid/,06-23-2022_21:32:30,5 hours ago
600 27th St SW,Birmingham,AL,35211,"$115,000",3,2,"1,624",33.48038,-86.87846,House for sale,https://www.zillow.com/homedetails/600-27th-St-SW-Birmingham-AL-35211/174680924_zpid/,06-23-2022_21:32:30,5 hours ago
2021 Hollins Dr,Birmingham,AL,35205,"$85,000",3,1,956,33.48502,-86.82802,House for sale,https://www.zillow.com/homedetails/2021-Hollins-Dr-Birmingham-AL-35205/1002612_zpid/,06-23-2022_21:32:30,2 days on Zillow
1345 Avenue V,Birmingham,AL,35218,"$55,000",2,1,920,33.513206,-86.879105,House for sale,https://www.zillow.com/homedetails/1345-Avenue-V-Birmingham-AL-35218/940272_zpid/,06-23-2022_21:32:30,2 days on Zillow
